2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
  Tire repairers and changers,107.6,113.3,5.7,5.3,"35,790",High school diploma or equivalent
  Mechanical door repairers,27.7,30.9,3.2,11.4,"48,650",High school diploma or equivalent
"  Control and valve installers and repairers, except mechanical door",48.8,49.6,0.8,1.6,"70,100",High school diploma or equivalent
"  Heating, air conditioning, and refrigeration mechanics and installers",441.2,481.3,40.1,9.1,"57,300",Postsecondary nondegree award
  Home appliance repairers,37.5,37.8,0.3,0.8,"47,170",High school diploma or equivalent
  Industrial machinery mechanics,429.5,503.3,73.8,17.2,"61,420",High school diploma or equivalent
"  Maintenance workers, machinery",59.0,63.6,4.6,7.8,"57,350",High school diploma or equivalent
  Millwrights,42.3,44.3,2.0,4.8,"62,980",High school diploma or equivalent
"  Refractory materials repairers, except brickmasons",0.6,0.5,-0.1,-17.8,"48,410",High school diploma or equivalent
  Electrical power-line installers and repairers,123.4,132.8,9.4,7.6,"85,420",High school diploma or equivalent
  Telecommunications line installers and repairers,102.2,99.4,-2.8,-2.7,"64,640",High school diploma or equivalent
  Camera and photographic equipment repairers,2.6,2.2,-0.4,-16.9,"46,850",High school diploma or equivalent
  Medical equipment repairers,67.0,79.3,12.3,18.4,"60,670",Associate's degree
  Musical instrument repairers and tuners,6.3,6.4,0.1,1.5,"42,800",High school diploma or equivalent
  Watch and clock repairers,1.9,1.9,0.0,0.0,"58,140",High school diploma or equivalent
"  Precision instrument and equipment repairers, all other[2]",10.9,11.2,0.4,3.5,"62,040",High school diploma or equivalent
"  Maintenance and repair workers, general","1,616.5","1,698.3",81.8,5.1,"46,700",High school diploma or equivalent
  Wind turbine service technicians,11.4,18.2,6.8,60.1,"61,770",Postsecondary nondegree award
"  Coin, vending, and amusement machine servicers and repairers",39.3,39.2,-0.1,-0.4,"44,980",High school diploma or equivalent
  Commercial divers,3.2,3.5,0.3,8.3,"61,300",Postsecondary nondegree award
  Locksmiths and safe repairers,17.6,15.8,-1.7,-9.9,"48,380",High school diploma or equivalent
  Manufactured building and mobile home installers,3.3,2.7,-0.6,-19.6,"38,980",High school diploma or equivalent
  Riggers,24.2,25.4,1.2,4.9,"56,220",High school diploma or equivalent
  Signal and track switch repairers,9.3,9.5,0.2,2.3,"82,710",High school diploma or equivalent
"  Helpers--installation, maintenance, and repair workers",104.6,109.2,4.6,4.4,"36,710",High school diploma or equivalent
"  Installation, maintenance, and repair workers, all other[2]",201.5,208.7,7.2,3.6,"46,500",High school diploma or equivalent
  First-line supervisors of production and operating workers,690.9,695.1,4.2,0.6,"65,930",High school diploma or equivalent
"  Aircraft structure, surfaces, rigging, and systems assemblers",31.4,26.3,-5.2,-16.4,"61,240",High school diploma or equivalent
