AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,Cardiovascular Technologists and Technicians,38.87,"80,850"
California,Diagnostic Medical Sonographers,57.27,"119,120"
California,Nuclear Medicine Technologists,67.29,"139,970"
California,Radiologic Technologists and Technicians,49.15,"102,230"
California,Magnetic Resonance Imaging Technologists,55.46,"115,360"
California,Emergency Medical Technicians,21.69,"45,110"
California,Paramedics,30.96,"64,400"
California,Dietetic Technicians,20.51,"42,660"
California,Pharmacy Technicians,23.98,"49,880"
California,Psychiatric Technicians,31.34,"65,200"
California,Surgical Technologists,37.69,"78,400"
California,Veterinary Technologists and Technicians,26.06,"54,190"
California,Ophthalmic Medical Technicians,23.68,"49,260"
California,Licensed Practical and Licensed Vocational Nurses,36.35,"75,610"
California,Medical Records Specialists,25.84,"53,740"
California,"Opticians, Dispensing",27.22,"56,610"
California,Orthotists and Prosthetists,44.42,"92,390"
California,Hearing Aid Specialists,35.42,"73,680"
California,"Health Technologists and Technicians, All Other",26.29,"54,690"
California,Health Information Technologists and Medical Registrars,45.71,"95,080"
California,Athletic Trainers,*,"72,370"
California,Genetic Counselors,64.17,"133,470"
California,Surgical Assistants,21.99,"45,730"
California,"Healthcare Practitioners and Technical Workers, All Other",32.82,"68,260"
California,Healthcare Support Occupations,16.65,"34,640"
California,Home Health and Personal Care Aides,16.12,"33,530"
California,Nursing Assistants,21.72,"45,170"
California,Orderlies,22.08,"45,920"
California,Psychiatric Aides,20.85,"43,360"
California,Occupational Therapy Assistants,38.63,"80,360"
California,Occupational Therapy Aides,16.89,"35,130"
California,Physical Therapist Assistants,38.28,"79,630"
California,Physical Therapist Aides,17.22,"35,810"
California,Massage Therapists,21.83,"45,400"
California,Dental Assistants,23.18,"48,210"
California,Medical Assistants,22.45,"46,690"
California,Medical Equipment Preparers,28.83,"59,960"
California,Medical Transcriptionists,18.33,"38,130"
California,Pharmacy Aides,20.52,"42,690"
California,Veterinary Assistants and Laboratory Animal Caretakers,19.32,"40,190"
California,Phlebotomists,23.62,"49,120"
California,"Healthcare Support Workers, All Other",24.10,"50,130"
